,0
519,886
520,175
521,516
522,2688
523,867
524,2701
525,2200
526,105
527,2379
528,2566
529,2203
530,90
531,2064
532,1217
533,874
534,2505
535,693
536,2296
537,1087
538,968
539,455
540,84
541,242
542,2462
543,2393
544,985
545,564
546,739
547,1600
548,745
549,2131
550,574
551,1386
552,1240
553,1663
554,247
555,2123
556,785
557,2313
558,1278
559,1328
560,757
561,2612
562,159
563,1868
564,2018
565,1874
566,182
567,326
568,425
569,682
570,2697
571,1092
572,1681
573,849
574,685
575,1726
576,77
577,2235
578,1950
579,1965
580,38
581,2802
582,1385
583,174
584,1510
585,857
586,2439
587,1918
588,1537
589,1821
590,676
591,2544
592,1649
593,1162
594,1273
595,2369
596,1589
597,1478
598,1844
599,491
600,1525
601,1015
602,471
603,358
604,1121
605,1111
606,102
607,2126
608,2405
609,1895
610,1762
611,2675
612,1988
613,2574
614,125
615,1110
616,272
617,246
618,2347
619,2263
620,294
621,1884
622,381
623,1742
624,802
625,1147
626,1948
627,163
628,1320
629,2423
630,572
631,1570
632,2016
633,1464
634,1451
635,1865
636,475
637,2596
638,1991
639,2009
640,915
641,1154
642,2534
643,1536
644,663
645,338
646,1378
647,225
648,1258
649,1245
650,2266
651,1029
652,2420
653,1651
654,2456
655,1788
656,149
657,99
658,793
659,1655
660,1546
661,747
662,144
663,1168
664,2057
665,1067
666,543
667,60
668,1284
669,2311
670,544
671,1491
672,2694
673,1254
674,2284
675,913
676,1761
677,1932
678,2072
679,1347
680,1728
681,1326
682,2125
683,749
684,2052
685,2360
686,1758
687,1309
688,2328
689,1086
690,37
691,1955
692,2806
693,2352
694,2060
695,2573
696,450
697,1398
698,1282
699,276
700,2713
701,587
702,2257
703,702
704,1741
705,2243
706,1857
707,692
708,162
709,701
710,293
711,8
712,1805
713,1302
714,2303
715,2070
716,838
717,773
718,2095
719,2539
720,2563
721,756
722,1598
723,2106
724,80
725,2138
726,1358
727,1322
728,715
729,2629
730,966
731,383
732,130
733,461
734,2367
735,974
736,1921
737,384
738,1075
739,1631
740,1114
741,2236
742,2459
743,1446
744,2618
745,2432
746,2349
747,233
748,214
749,341
750,1989
751,817
752,97
753,1335
754,1664
755,2785
756,1587
757,3
758,2679
759,629
760,2220
761,618
762,1523
763,172
764,2361
765,872
766,1370
767,325
768,2552
769,1256
770,711
771,2499
772,2472
773,332
774,923
775,121
776,2250
777,94
778,2253
779,1187
780,484
781,1962
782,643
783,1197
784,1910
785,2555
786,2812
787,783
788,2473
789,164
790,928
791,342
792,2522
793,2647
794,2184
795,1389
796,1481
797,585
798,2500
799,668
800,1576
801,1623
802,1733
803,1913
804,167
805,335
806,2258
807,709
808,2174
809,257
810,1833
811,2281
812,64
813,1288
814,1161
815,204
816,2584
817,1672
818,284
819,83
820,2035
821,28
822,120
823,456
824,2825
825,996
826,2820
827,833
828,2029
829,1572
830,2146
831,2421
832,2017
833,281
834,391
835,2690
836,845
837,573
838,2043
839,938
840,2011
841,1113
842,2720
843,518
844,1028
845,1157
846,166
847,220
848,1172
849,1802
850,2561
851,2121
852,1404
853,2400
854,1777
855,2340
856,1702
857,1909
858,1919
859,183
860,268
861,1483
862,1152
863,2398
864,639
865,2463
866,626
867,1300
868,1706
869,388
870,1120
871,2404
872,1412
873,850
874,541
875,1201
876,2252
877,1252
878,2096
879,1289
880,2337
881,1959
882,330
883,2425
884,2199
885,205
886,1581
887,126
888,2354
889,2595
890,2422
891,1719
892,2015
893,320
894,2332
895,2390
896,2350
897,42
898,2033
899,161
900,137
901,359
902,2270
903,529
904,1257
905,145
906,2496
907,142
908,1599
909,2800
910,1687
911,1186
912,1806
913,2172
914,278
915,1035
916,2520
917,2693
918,1225
919,2233
920,1500
921,2115
922,1872
923,1437
924,1564
925,1480
926,642
927,956
928,1916
929,1831
930,611
931,510
932,1956
933,2227
934,2066
935,1524
936,1705
937,2417
938,1331
939,1614
940,464
941,1722
942,404
943,2506
944,1502
945,345
946,193
947,1231
948,741
949,344
950,2562
951,2118
952,2032
953,405
954,1181
955,1229
956,1136
957,950
958,417
959,2292
960,887
961,816
962,2216
963,2519
964,694
965,537
966,323
967,2240
968,2659
969,517
970,2041
971,1556
972,2624
973,2535
974,2609
975,2628
976,540
977,1757
978,1715
979,822
980,2307
981,1271
982,2101
983,103
984,2244
985,619
986,1508
987,1432
988,14
989,901
990,566
991,1368
992,2676
993,302
994,260
995,374
996,846
997,2208
998,1070
999,1173
1000,1501
1001,308
1002,1928
1003,1794
1004,1482
1005,2478
1006,871
1007,2443
1008,929
1009,1996
1010,1423
1011,832
1012,1638
1013,936
1014,2297
1015,1790
1016,1433
1017,371
1018,1310
1019,2409
1020,691
1021,369
1022,197
1023,2305
1024,251
1025,207
1026,1117
1027,2610
1028,1244
1029,847
1030,1559
1031,2231
1032,1494
1033,2818
1034,2189
1035,1724
1036,2133
1037,2205
1038,45
1039,2524
1040,508
1041,216
1042,2565
1043,1842
1044,1353
1045,945
1046,2143
1047,2210
1048,1914
1049,2316
1050,1306
1051,1145
1052,818
1053,1195
1054,2036
1055,2476
1056,2342
1057,2228
1058,2049
1059,1431
1060,2548
1061,2460
1062,657
1063,412
1064,2815
1065,2185
1066,1285
1067,2642
1068,303
1069,1341
1070,1448
1071,1267
1072,78
1073,666
1074,1648
1075,758
1076,111
1077,309
1078,2023
1079,2039
1080,32
1081,1963
1082,1571
1083,1787
1084,1716
1085,1184
1086,2821
1087,1601
1088,869
1089,2071
1090,598
1091,1455
1092,1090
1093,569
1094,703
1095,1495
1096,1392
1097,362
